Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
1500.0,5,3.0,0,360,1.0,30000000,1,1,1,20000.0
1512.0,2,2.0,0,360,1.0,22000000,1,1,1,14550.0
400.0,2,2.0,0,362,1.0,9000000,1,1,1,14550.0
630.0,3,2.0,0,360,1.0,22500000,1,1,1,35714.0
324.0,6,3.0,0,360,1.0,8700000,1,1,1,35714.0
720.0,6,5.0,0,360,1.0,22000000,1,1,1,35714.0
675.0,4,2.0,0,360,2.0,18500000,1,1,1,35714.0
700.0,2,1.0,0,360,2.0,16000000,1,0,1,22857.0
675.0,4,3.0,0,360,2.0,16000000,1,1,1,22857.0
720.0,4,2.0,0,360,2.0,9000000,1,1,1,12500.0
850.0,2,2.0,0,142,1.0,4500000,1,1,1,12500.0
801.0,3,2.0,1,172,1.0,6000000,1,0,1,11291.5
450.0,1,2.0,2,172,1.0,2700000,1,1,1,11291.5
1000.0,3,2.0,2,172,1.0,6500000,1,1,0,11291.5
990.0,3,2.0,2,172,1.0,4000000,1,1,0,4040.0
420.0,2,1.0,1,172,1.0,2600000,1,0,1,4040.0
450.0,2,1.0,1,172,1.0,3500000,1,1,1,7778.0
1000.0,2,2.0,2,172,1.0,7500000,1,1,0,7778.0
900.0,3,2.0,1,172,1.0,7000000,1,1,1,7778.0
800.0,3,2.0,1,172,1.0,4500000,1,0,1,7778.0
720.0,3,3.0,1,172,2.0,5500000,1,1,1,7778.0
450.0,2,1.0,1,172,2.0,2700000,1,0,1,7778.0
675.0,2,2.0,0,172,2.0,2400000,1,1,1,32000.0
1700.0,4,3.0,2,172,2.0,11500000,1,0,1,32000.0
550.0,2,2.0,2,127,2.0,3600000,1,0,1,32000.0
387.0,1,2.0,2,127,2.0,1700000,1,0,1,32000.0
450.0,2,1.0,2,171,2.0,2500000,1,1,0,32000.0
900.0,4,2.0,0,172,1.0,6600000,1,1,1,32000.0
500.0,2,1.0,1,172,1.0,3700000,1,1,1,32000.0
441.0,2,1.0,2,159,1.0,3500000,1,1,0,32000.0
800.0,3,2.0,1,171,1.0,5400000,1,1,1,32000.0
450.0,2,2.0,1,174,1.0,2550000,1,0,1,5666.0
1000.0,3,3.0,0,173,1.0,12500000,1,1,1,5666.0
715.0,2,2.0,2,172,1.0,5600000,1,1,0,5666.0
600.0,2,2.0,2,172,1.0,7000000,1,1,1,11667.0
540.0,2,1.0,2,172,1.0,3500000,1,1,1,11667.0
312.0,4,4.0,0,27,1.0,35000000,1,1,0,112179.0
810.0,3,2.0,1,172,1.0,9000000,1,1,1,11111.0
270.0,1,1.0,1,127,1.0,2300000,1,1,1,11111.0
900.0,3,2.0,1,172,1.0,6000000,1,1,1,11111.0
1000.0,3,2.0,2,172,1.0,6000000,1,1,0,11111.0
540.0,2,2.0,1,342,1.0,2650000,1,0,1,11291.5
950.0,3,2.0,0,343,1.0,4370000,1,0,0,4600.0
1000.0,3,2.0,2,357,1.0,4620000,1,0,0,4620.0
540.0,2,2.0,1,5,1.0,3000000,1,0,0,5000.0
540.0,2,2.0,1,163,1.0,3300000,1,0,0,6111.0
1000.0,3,2.0,1,231,1.0,5510000,0,0,1,6111.0
500.0,2,2.0,1,102,1.0,3200000,1,0,1,6111.0
540.0,2,2.0,1,344,1.0,2600000,1,0,1,6111.0
780.0,3,2.0,1,342,1.0,4000000,1,0,1,6111.0
450.0,2,1.0,1,344,1.0,1850000,1,0,1,6111.0
360.0,1,1.0,1,342,1.0,1700000,1,0,1,6111.0
900.0,3,2.0,1,288,1.0,2800000,1,0,1,6111.0
495.0,2,2.0,1,344,1.0,2150000,1,0,1,6111.0
1200.0,4,3.0,1,288,1.0,6800000,1,0,1,6111.0
1000.0,3,2.0,1,342,1.0,6200000,1,0,1,6111.0
620.0,2,2.0,1,342,1.0,3100000,1,0,1,6111.0
680.0,3,2.0,1,102,1.0,3400000,1,0,1,6111.0
805.0,2,2.0,2,157,1.0,4000000,1,1,1,6111.0
729.0,2,2.0,1,200,1.0,4800000,1,1,1,6584.0
540.0,2,2.0,1,342,1.0,2500000,1,0,1,6584.0
360.0,1,1.0,1,342,1.0,2000000,1,0,1,6584.0
550.0,2,2.0,1,344,1.0,1900000,1,0,1,6584.0
1001.0,3,2.0,0,199,1.0,5800000,1,0,1,5794.0
450.0,2,2.0,2,102,1.0,2900000,1,1,1,5794.0
550.0,2,1.0,1,344,1.0,2000000,1,0,1,5794.0
550.0,2,2.0,1,345,1.0,2600000,1,0,1,5794.0
675.0,2,1.0,2,342,1.0,2900000,1,1,1,5794.0
585.0,2,2.0,2,342,1.0,3200000,1,1,1,5794.0
810.0,3,2.0,1,224,1.0,5400000,1,1,1,5794.0
765.0,3,2.0,1,102,1.0,3800000,1,1,1,5794.0
70.0,2,3.0,0,240,1.0,8200000,1,0,1,23840.0
800.0,3,2.0,2,241,1.0,8000000,1,1,1,23840.0
900.0,3,2.0,1,241,1.0,9500000,1,1,1,23840.0
1680.0,4,5.0,1,241,1.0,20000000,1,1,1,23840.0
900.0,2,2.0,0,241,3.0,7400000,1,1,1,23840.0
2000.0,3,3.0,1,239,1.0,37500000,1,1,0,23840.0
2000.0,4,4.0,1,241,3.0,15000000,1,1,1,7500.0
1900.0,3,3.0,1,341,1.0,55300000,0,0,0,7500.0
1530.0,3,3.0,1,239,2.0,26500000,1,1,1,7500.0
100.0,3,2.0,1,239,2.0,16000000,1,1,0,160000.0
900.0,3,2.0,0,241,2.0,10400000,1,1,1,11556.0
270.0,1,1.0,2,241,2.0,1700000,1,1,1,11556.0
950.0,2,2.0,1,241,2.0,8000000,1,1,1,8421.0
1800.0,3,3.0,1,239,2.0,27000000,1,1,1,8421.0
1500.0,3,3.0,1,241,2.0,19500000,1,1,1,8421.0
1800.0,3,3.0,0,239,3.0,50000000,1,1,0,27778.0
1800.0,3,3.0,2,241,3.0,21100000,1,1,1,11722.0
850.0,2,3.0,1,241,1.0,5900000,1,1,1,24718.0
140.0,3,2.0,2,260,1.0,12000000,1,0,1,85714.0
900.0,3,2.0,2,241,1.0,12000000,1,1,1,13333.0
1800.0,3,3.0,2,241,1.0,24000000,1,1,0,13333.0
200.0,1,1.0,1,239,1.0,7000000,1,1,0,13333.0
1782.0,3,3.0,1,239,1.0,15000000,1,1,0,8418.0
900.0,2,2.0,0,24,1.0,1500000,1,1,1,1667.0
405.0,2,1.0,1,241,1.0,3950000,1,1,0,1667.0
1500.0,3,3.0,2,241,1.0,12500000,1,1,1,8333.0
